condition,observed_R2,null_mean,null_sd,null_p95,empirical_p,n_null,n_residual_obs
core3 (Mapt/Apoe/Trem2),0.028259020893108278,0.021304186012015534,0.0228771743098726,0.071251056784943,0.24075924075924077,1000,4656
AD-risk panel (n=8),0.04801057528763608,0.05599412162353799,0.03133452074803135,0.11717658620074774,0.5254745254745254,1000,4656
transcriptome PCA-10,0.14049904514813472,0.06885881964740903,0.031465417685426954,0.12937836900465993,0.027972027972027972,1000,4656
single: Mapt,0.0007724367429639001,0.00620135306448639,0.01204310821377353,0.028035406975683245,0.6743256743256744,1000,4656
single: Apoe,0.00037989205834665363,0.00620135306448639,0.01204310821377353,0.028035406975683245,0.7712287712287712,1000,4656
single: Trem2,0.028091808410863783,0.00620135306448639,0.01204310821377353,0.028035406975683245,0.05094905094905095,1000,4656
