region,mean_residual,mean_observed_z,n_obs,expr_Mapt,expr_Apoe,expr_Trem2
iMedial preoptic nucleus,0.5268526380999875,0.2148845778179206,24.0,1.5535981531337784,2.377119725301014,-0.9779851427314799
iMedial preoptic area,0.17273250158370038,0.2148845778179206,24.0,1.5094829256443811,1.9830557053252345,-0.9136877908859182
iPosterior hypo nucleus,0.03146900563339528,0.2148845778179206,24.0,0.05144519806167036,-0.5883010126740951,-0.4756069386411039
iDorsal premammillary nucleus,0.5069215237367406,0.2148845778179206,24.0,0.6800844292674697,-0.9994252868099225,-0.6908282405449171
iParaventricular hypo nucleus,0.4093665184495916,0.2148845778179206,24.0,1.0097857055051305,0.7620559045646538,-0.8685917771057514
"iPeriventricular hypo nucleus, posterior part",0.4038770892818055,0.2148845778179206,24.0,-0.09552603397707783,-1.1810174305899532,1.1094097900499051
"iPeriventricular hypo nucleus, preoptic part",0.5790175976949316,0.2148845778179206,24.0,1.2137483514692124,3.487414498466554,-0.9737045823717755
iRetrochiasmatic area,0.39089751943340584,0.2148845778179206,24.0,-0.39092197133435924,0.6042590295810394,-0.506178331079165
iSubparaventricular zone,0.5108350250162834,0.2148845778179206,24.0,0.10055519973497419,1.9869720116630811,-0.8959281725530623
iSubthalam nucleus,0.5475709622820311,0.2148845778179206,24.0,-0.2868975203573685,-1.605785486981577,-0.6453851385824864
iSupramammillary nucleus,0.29024620400848583,0.2148845778179206,24.0,-1.278470707973484,0.39679935881183315,-0.18371470632273557
iTuberal nucleus,0.294774989430076,0.2148845778179206,24.0,-0.8752526203640462,0.8615647412436643,-0.2864733278404048
iVentromedial hypo nucleus,0.4435749665643045,0.2148845778179206,24.0,0.2523823275601285,1.2011355918651048,-0.11957604249659204
"iAnterior cingulate area, dorsal part",,,0.0,1.3608922342986722,-0.4084601787335884,0.7375625006346561
"iAnterior cingulate area, ventral part",,,0.0,0.37334751736023936,-0.2318215976822177,0.07856055053956273
