fold,model,family,seed_run,R,rho,dR,drho,dR2,R_persist,dR2_persist_zero,n_params
0,Persistence (no change),null,0,0.8269741865354779,0.8833333333333333,,,-4.233376659416495,0.8269741865354779,-4.233376659416495,
0,NDM (ACS connectome),diffusion,0,0.7906172620938883,0.8833333333333333,-0.5189557115359118,-0.31666666666666665,-4.245250062610983,0.8269741865354779,-4.233376659416495,1.0
0,NDM (HCP fibercount),diffusion,0,0.8109242049482018,0.8833333333333333,-0.23357044613002698,-0.38333333333333336,-4.281663590081505,0.8269741865354779,-4.233376659416495,1.0
0,FKPP (ACS connectome),diffusion,0,0.8678846505831466,0.8833333333333333,0.5008999523842979,0.5499999999999999,-0.23832418644460862,0.8269741865354779,-4.233376659416495,2.0
0,FKPP + genes (MAPT/APOE/TREM2),diffusion+genes,0,0.8678846505831466,0.8833333333333333,0.5008999523842979,0.5499999999999999,-0.23832418644460862,0.8269741865354779,-4.233376659416495,3.0
0,NDM on distance graph,null-network,0,0.7906504158627735,0.8666666666666667,-0.4953696812788516,-0.33333333333333337,-4.210632958245065,0.8269741865354779,-4.233376659416495,1.0
0,FKPP on distance graph,null-network,0,0.859111961789239,0.8666666666666667,0.46903529939352784,0.38333333333333336,-0.3059882413873636,0.8269741865354779,-4.233376659416495,2.0
0,NDM on rewired connectome,null-network,0,0.760914759111049,0.8666666666666667,-0.7606942914787828,-0.7166666666666667,-4.421581270815412,0.8269741865354779,-4.233376659416495,1.0
0,FKPP on rewired connectome,null-network,0,0.8478814357981601,0.8666666666666667,0.39834421823787985,0.2833333333333333,-0.4125338268268812,0.8269741865354779,-4.233376659416495,2.0
0,TauODE (no genes),gnn,0,0.8772683680149472,0.8833333333333333,0.338166880576952,0.39999999999999997,-2.665025648923087,0.8269741865354779,-4.233376659416495,
0,TauODE (no genes),gnn,1,0.8770726865320989,0.8833333333333333,0.33524164678308627,0.39999999999999997,-2.6849449935826493,0.8269741865354779,-4.233376659416495,
0,TauODE (no genes),gnn,2,0.8774115643058372,0.8833333333333333,0.3417011405140239,0.39999999999999997,-2.639567184423949,0.8269741865354779,-4.233376659416495,
0,TauODE (no genes),gnn,3,0.8775341810570962,0.8833333333333333,0.3401052938315646,0.39999999999999997,-2.6645590192428803,0.8269741865354779,-4.233376659416495,
0,TauODE (no genes),gnn,4,0.877383082594015,0.8833333333333333,0.33720512452828794,0.39999999999999997,-2.6790388112303165,0.8269741865354779,-4.233376659416495,
0,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,0,0.9574087794867714,0.8499999999999999,0.8324385234796958,0.6666666666666667,-0.5997033203191473,0.8269741865354779,-4.233376659416495,
0,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,1,0.9590839778493362,0.8666666666666667,0.7295807548526522,0.5499999999999999,-1.6119475365821687,0.8269741865354779,-4.233376659416495,
0,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,2,0.947621480864636,0.8666666666666667,0.49272963664047476,0.5166666666666667,-2.436766843092623,0.8269741865354779,-4.233376659416495,
0,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,3,0.9578964672421392,0.8499999999999999,0.7457623052940772,0.5666666666666667,-1.479008188306484,0.8269741865354779,-4.233376659416495,
0,TauODE + genes (MAPT/APOE/TREM2),gnn+genes,4,0.9549929560052436,0.8666666666666667,0.7181630519260608,0.7166666666666667,-1.6082012429675303,0.8269741865354779,-4.233376659416495,
1,Persistence (no change),null,0,0.8091730204030457,0.8166666666666667,,,-2.937003975221515,0.8091730204030457,-2.937003975221515,
1,NDM (ACS connectome),diffusion,0,0.8003227975106055,0.8166666666666667,-0.24112774983199803,-0.049999999999999996,-3.031415948862402,0.8091730204030457,-2.937003975221515,1.0
1,NDM (HCP fibercount),diffusion,0,0.8112254900299807,0.8166666666666667,0.20597504935535896,0.03333333333333333,-3.0918864653038334,0.8091730204030457,-2.937003975221515,1.0
1,FKPP (ACS connectome),diffusion,0,0.9328634111109556,0.8166666666666667,0.7713331092449942,0.75,0.2353178774511947,0.8091730204030457,-2.937003975221515,2.0
1,FKPP + genes (MAPT/APOE/TREM2),diffusion+genes,0,0.9328634111109556,0.8166666666666667,0.7713331092449942,0.75,0.2353178774511947,0.8091730204030457,-2.937003975221515,3.0
1,NDM on distance graph,null-network,0,0.8042503499208691,0.8166666666666667,0.12482589519500918,-0.11666666666666665,-3.1042219605671235,0.8091730204030457,-2.937003975221515,1.0
1,FKPP on distance graph,null-network,0,0.9296563149742338,0.8166666666666667,0.7265332086168894,0.75,0.19751405453212278,0.8091730204030457,-2.937003975221515,2.0
1,NDM on rewired connectome,null-network,0,0.788689682367958,0.8333333333333333,-0.3755265943944382,-0.26666666666666666,-3.1070393659093947,0.8091730204030457,-2.937003975221515,1.0
1,FKPP on rewired connectome,null-network,0,0.9138556929570443,0.8666666666666667,0.6931892022212415,0.65,0.1473191935345507,0.8091730204030457,-2.937003975221515,2.0
